tokeniser_type,delta,vocab_size,compression_rate
TextTokens,16,20000,2.641840239556865
TextTokens,16,25000,2.69360813898363
TextTokens,16,30000,2.7329530789748433
TextTokens,16,35000,2.764323801832013
TextTokens,16,40000,2.7919655997685298
TextTokens,16,45000,2.816049255127914
TextTokens,16,50000,2.832662711304759
TextTokens,16,55000,2.8498208812147916
TextTokens,16,60000,2.866705319361687
TextTokens,16,65000,2.881784718936643
TextTokens,16,70000,2.894972081695478
TextTokens,16,75000,2.9058525016108323
TextTokens,16,80000,2.915979215225114
TextTokens,16,85000,2.9235494749035595
TextTokens,16,90000,2.928096495637322
TextTokens,16,95000,2.9329723011670215
TextTokens,16,100000,2.9378659930147273
TextTokens,32,5000,3.0357073044128757
TextTokens,32,10000,3.2508699528963234
TextTokens,32,15000,3.3687890600564816
TextTokens,32,20000,3.4495351876931566
TextTokens,32,25000,3.507556360070069
TextTokens,32,30000,3.552469200307515
TextTokens,32,35000,3.5889244263960935
TextTokens,32,40000,3.615923131911708
TextTokens,32,45000,3.643390525408093
TextTokens,32,50000,3.665649113558717
TextTokens,32,55000,3.6861436514691506
TextTokens,32,60000,3.7047961472765176
TextTokens,32,65000,3.718998709528608
TextTokens,32,70000,3.7272992690021343
TextTokens,32,75000,3.7358515169452446
TextTokens,32,80000,3.7453869636592003
TextTokens,32,85000,3.753385481747767
TextTokens,32,90000,3.762853128222437
TextTokens,32,95000,3.7714769228770284
TextTokens,32,100000,3.7802325406245822
