epoch,dataset,run,val_epoch_ce,val_epoch_nll
55,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.986709706923541,
56,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.980047913158641,
57,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.978649251601276,
58,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.976163751938763,
59,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.977714650771198,
60,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.974700114306281,
61,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.976885192534503,
62,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.973965771058026,
63,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.9795927019680235,
64,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.97169407676248,
65,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.969590958426981,
66,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.971252721898696,
67,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.977566761129043,
68,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.969006748760448,
69,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.967691758099725,
70,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.968154149896958,
71,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.97230076789856,
72,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.974300959530999,
73,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.965899677837596,
74,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.964965469696942,
75,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.963616006514606,
76,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.966301637537339,
77,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.964753683875589,
78,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.967813155230353,
79,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.9576522462508255,
80,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.955907064325669,
81,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.964633885551901,
82,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.962117419523351,
83,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.958880957435159,
84,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.957514594582951,
85,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.954628776101505,
86,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.957133559619679,
87,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.953990263097427,
88,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.953705563264735,
89,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.954309211057775,
90,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.960018606746898,
91,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.961011297562543,
92,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.953852527281818,
93,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.962052836137659,
94,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.958481830709121,
95,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.953091845792883,
96,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.957296974518719,
97,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.96391230470994,
98,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.960625704597025,
99,iam,"Task: HTG_SFT, Repr: RelTokens-8 (vocab_size: 32000)",4.959335649714751,
0,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.22871909422033,
1,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.223752568749821,
2,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.223694142173319,
3,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.215519316056195,
4,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.217463381150189,
5,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.211146438823027,
6,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.211632588330438,
7,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.205360019908232,
8,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.201264689950382,
9,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.201113616718965,
10,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.19356619610506,
11,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.175676892785465,
12,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.142410180147956,
13,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.094302009133732,
14,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.067247713313384,
15,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.058742845759673,
16,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.047040532617008,
17,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.033755695118623,
